Company Name,,,,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Leonie Industries,,,,"Arlington, VA",51 to 200 employees,2006,Company - Private,Federal Agencies,Government,$5 to $10 million (USD)
LePort Schools,,,,"Irvine, CA",501 to 1000 employees,2000,Company - Private,Preschool & Child Care,Education,Unknown / Non-Applicable
LetsGetChecked,,,,"New York, NY",51 to 200 employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Level Ex, Inc",,,,"Chicago, IL",51 to 200 employees,2015,Company - Private,Video Games,Media,Unknown / Non-Applicable
Level Up Talent,,,,-1,-1,-1,-1,-1,-1,-1
Level Up,,,,"Manila, Philippines",201 to 500 employees,-1,Company - Private,Video Games,Media,Unknown / Non-Applicable
LevelUP HCS,,,,"New York, NY",51 to 200 employees,2012,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Levelwing Media LLC,,,,"New York, 061",1 to 50 employees,2002,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD)
"Levi, Ray & Shoup, Inc",,,,"Springfield, IL",501 to 1000 employees,1979,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Lewis | James Professional,,,,-1,-1,-1,-1,-1,-1,-1
LexisNexis Risk Solutions,,,,"Alpharetta, GA",1001 to 5000 employees,2000,Company - Public,Consulting,Business Services,$2 to $5 billion (USD)
"LGC EMPLOYEECO, LLC",,,,-1,-1,-1,-1,-1,-1,-1
Liberty Grove Software,,,,-1,-1,-1,-1,-1,-1,-1
Liberty Lending,,,,"New York, NY",51 to 200 employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
Liberty Mutual Insurance Europe Ltd,,,,-1,-1,-1,-1,-1,-1,-1
Liberty Mutual Insurance,,,,"Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Liberty Source,,,,"Fort Monroe, VA",51 to 200 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
"Libsys, Inc",,,,"Naperville, IL",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD)
Lidl,,,,"London, United Kingdom",10000+ employees,1994,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD)
Life360,,,,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Lifeline Connections,,,,"Vancouver, 133",51 to 200 employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
LifePath Systems,,,,"McKinney, TX",51 to 200 employees,-1,Government,-1,-1,Unknown / Non-Applicable
Lifescience Dynamics,,,,"London, United Kingdom",51 to 200 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
LiftFund,,,,"San Antonio, TX",51 to 200 employees,-1,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
Liftoff,,,,"Redwood City, CA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
LiftOne,,,,"Charlotte, NC",1001 to 5000 employees,1926,Company - Private,Other Retail Stores,Retail,$100 to $500 million (USD)
Lightbeam Health Solutions,,,,"Irving, TX",51 to 200 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
Lightbend,,,,"San Francisco, CA",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Lightning Minds Inc,,,,"Cary, NC",1 to 50 employees,-1,Company - Public,IT Services,Information Technology,Less than $1 million (USD)
Lightspeed Systems,,,,"Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
"Lightup Data, Inc",,,,-1,-1,-1,-1,-1,-1,-1
Lilly Pharmaceuticals,,,,-1,-1,-1,-1,-1,-1,-1
Lilly,,,,"Indianapolis, IN",10000+ employees,1876,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Lilt,,,,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Lily AI,,,,"Mountain View, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Lime,,,,"San Francisco, CA",501 to 1000 employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Limelight,,,,"Hawwarah, Jordan",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Limelight Networks,,,,"Tempe, AZ",501 to 1000 employees,2001,Company - Public,IT Services,Information Technology,$100 to $500 million (USD)
Lincoln Financial,,,,"Radnor, PA",10000+ employees,1905,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Lincoln Property Company,,,,"Dallas, TX",5001 to 10000 employees,1965,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD)
Lincoln,,,,"Dallas, TX",5001 to 10000 employees,1965,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD)
Line Sniper,,,,-1,-1,-1,-1,-1,-1,-1
LiniumIT,,,,-1,-1,-1,-1,-1,-1,-1
Link,,,,"Hamburg, Germany",501 to 1000 employees,1947,Unknown,-1,-1,$100 to $500 million (USD)
"LINQM, INC",,,,"San Diego, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Linquest Corporation,,,,"Los Angeles, CA",501 to 1000 employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
LinQuest,,,,"Los Angeles, CA",501 to 1000 employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Lionbridge,,,,"Waltham, MA",5001 to 10000 employees,1996,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD)
Liongard,,,,"Houston, TX",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Lionsgate,,,,"Santa Monica, CA",1001 to 5000 employees,1997,Company - Public,Motion Picture Production & Distribution,Media,$2 to $5 billion (USD)
Liquid Web,,,,"Lansing, MI",501 to 1000 employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
Listrak,,,,"Lititz, PA",201 to 500 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
Litify,,,,"Brooklyn, NY",1 to 50 employees,2016,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Littelfuse,,,,"Chicago, IL",10000+ employees,1927,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$1 to $2 billion (USD)
Little Raymond's Print Shop,,,,"Moosic, PA",51 to 200 employees,-1,Franchise,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable
LivaNova,,,,"London, United Kingdom",1001 to 5000 employees,2015,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
Live Nation Entertainment,,,,"Beverly Hills, CA",10000+ employees,2005,Company - Public,Music Production & Distribution,Media,$5 to $10 billion (USD)
LiveCareer,,,,"Guaynabo, PR",501 to 1000 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
LiveGlam,,,,"Los Angeles, CA",51 to 200 employees,2016,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
LiveMindz,,,,"Dallas, TX",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"LivePerson, Inc",,,,"New York, NY",1001 to 5000 employees,1995,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
LiveRamp,,,,"San Francisco, CA",1001 to 5000 employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Living Spaces,,,,"La Mirada, CA",1001 to 5000 employees,2003,Company - Private,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable
Livingston International,,,,"Toronto, Canada",1001 to 5000 employees,1945,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD)
Livongo,,,,"Mountain View, CA",501 to 1000 employees,2014,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"LJA Engineering, Inc",,,,"Houston, TX",1001 to 5000 employees,1997,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD)
Lloyd Group,,,,"New York, NY",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
LMI Government Consulting (Logistics Management Institute),,,,-1,-1,-1,-1,-1,-1,-1
LMI,,,,"Tysons, VA",1001 to 5000 employees,1961,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD)
Loan Depot,,,,"Chattanooga, TN",1 to 50 employees,-1,Company - Private,Investment Banking & Asset Management,Finance,Less than $1 million (USD)
"LoanCare, A ServiceLink Company",,,,-1,-1,-1,-1,-1,-1,-1
loanDepot,,,,"Foothill Ranch, CA",5001 to 10000 employees,2010,Company - Private,Lending,Finance,$1 to $2 billion (USD)
LoanMe,,,,"Anaheim, CA",51 to 200 employees,2013,Company - Private,Lending,Finance,Unknown / Non-Applicable
Lob,,,,"San Francisco, CA",1 to 50 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Local Initiatives Support Corporation,,,,"New York, NY",201 to 500 employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD)
Localist,,,,"Silver Spring, MD",1 to 50 employees,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"Locana, Inc",,,,-1,-1,-1,-1,-1,-1,-1
Lochbridge,,,,"Detroit, MI",1001 to 5000 employees,1973,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"LockerDome, Inc",,,,"Saint Louis, MO",51 to 200 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Lockheed Martin,,,,"Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Lockton,,,,"Kansas City, MO",5001 to 10000 employees,1966,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $2 billion (USD)
"Lockwood, Andrews, & Newnam",,,,"Houston, TX",201 to 500 employees,1935,Company - Private,Architectural & Engineering Services,Business Services,Unknown / Non-Applicable
"Lodestar Consulting, Inc",,,,"Newtown, PA",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Lodestone,,,,"Pleasanton, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Logic Planet,,,,"Princeton, NJ",201 to 500 employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Logic20/20,,,,"Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
Logicalis,,,,"Slough, United Kingdom",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD)
Login Consulting Services Inc,,,,"El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
Login Consulting Services,,,,"El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
"Login Consulting Services, Inc",,,,"El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
Logisticare,,,,"Atlanta, GA",1001 to 5000 employees,1994,Company - Public,Transportation Management,Transportation & Logistics,$1 to $2 billion (USD)
"LogistiCare, Inc",,,,"Atlanta, GA",1001 to 5000 employees,1994,Company - Public,Transportation Management,Transportation & Logistics,$1 to $2 billion (USD)
"Lokavant, Inc",,,,"New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Loma Linda University Medical Center,,,,"Loma Linda, CA",10000+ employees,1967,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
London Stock Exchange Group,,,,"London, United Kingdom",1001 to 5000 employees,1698,Company - Public,Stock Exchanges,Finance,$50 to $100 million (USD)
Lone Star Legal Aid,,,,"Houston, TX",51 to 200 employees,-1,Nonprofit Organization,Legal,Accounting & Legal,$10 to $25 million (USD)
Long Term Care Group,,,,"Eden Prairie, MN",1001 to 5000 employees,1996,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
LONGFORD & COMPANY INC,,,,"State College, PA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Long's Drugs,,,,"Woonsocket, RI",10000+ employees,1938,Company - Public,Drug & Health Stores,Retail,$1 to $2 billion (USD)
Lonza,,,,"Basel, Switzerland",10000+ employees,1897,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD)
"Lonza, Inc",,,,"Basel, Switzerland",10000+ employees,1897,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD)
Loop Integration,,,,"Chicago, IL",1 to 50 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Loot Crate,,,,"Los Angeles, CA",201 to 500 employees,2012,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
Lord Abbett,,,,"Jersey City, NJ",501 to 1000 employees,1929,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Lord Global Services,,,,"Herndon, VA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Lorven Technologies Inc,,,,"Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD)
"Lorven Technologies, Inc",,,,"Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD)
Los Angeles County,,,,"Los Angeles, CA",10000+ employees,1850,Government,Municipal Governments,Government,$10+ billion (USD)
Los Angeles Homeless Services Authority,,,,"Los Angeles, CA",51 to 200 employees,1993,Government,State & Regional Agencies,Government,$50 to $100 million (USD)
Los Angeles Pacific University,,,,"San Dimas, CA",201 to 500 employees,2010,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Los Angeles Superior Court,,,,"Los Angeles, CA",1001 to 5000 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable
Los Angeles Universal Preschool,,,,"Los Angeles, CA",51 to 200 employees,2004,Nonprofit Organization,Preschool & Child Care,Education,$50 to $100 million (USD)
Los Angeles,,,,"Los Angeles, CA",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
"LotusFlare, Inc",,,,"Santa Clara, CA",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Louisville Metro Government,,,,"Louisville, KY",1 to 50 employees,-1,Unknown,Municipal Governments,Government,Less than $1 million (USD)
LovelySkin,,,,"Omaha, NE",51 to 200 employees,1997,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
Loves Travel Stops & Country Store,,,,"Oklahoma City, OK",10000+ employees,1964,Company - Private,Gas Stations,Retail,$10+ billion (USD)
Lowell General Hospital,,,,"Lowell, MA",1001 to 5000 employees,1891,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Lower Colorado River Authority,,,,"Austin, TX",1001 to 5000 employees,1934,Government,State & Regional Agencies,Government,$1 to $2 billion (USD)
"Lowe's Companies, Inc",,,,"Mooresville, NC",10000+ employees,1921,Company - Public,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
Lowe's,,,,"Mooresville, NC",10000+ employees,1921,Company - Public,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
Lowe's,,,,"Mooresville, NC",10000+ employees,1946,Company - Public,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
Loyola College in Maryland,,,,"Baltimore, MD",1001 to 5000 employees,1852,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
LP Analyst,,,,"Dallas, TX",1 to 50 employees,2011,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
LPL Financial,,,,"Boston, MA",1001 to 5000 employees,1968,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
LRW,,,,"Los Angeles, CA",501 to 1000 employees,1973,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
"LS Power Development, LLC",,,,"New York, NY",51 to 200 employees,1990,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
LSINC Corporation,,,,"Huntsville, AL",51 to 200 employees,2008,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
LTCG,,,,"Eden Prairie, MN",1001 to 5000 employees,1996,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
LTE Networks- Navy TRIDENT,,,,-1,-1,-1,-1,-1,-1,-1
LTI,,,,"Mumbai, India",10000+ employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Lucayan Technology Solutions LLC,,,,"Tampa, FL",1 to 50 employees,-1,Unknown,-1,-1,Less than $1 million (USD)
